DirTravel,Length_3D,StateID_Local,BikeLane,STSGMT_ID,PCI,PCI_Notes,Class_Thematic,Restriction_Truck,CrossSt_From,Class_Special,Rte_Description,CrossSt_To,PCI_Source,Addr_Min,StateID_Geo,OBJECTID,Addr_Max,Alias,PCI_Date,LucitySyncDate,TrafficCalming,LifeCycle,Creator,StateID_VDOTEdge,StateID_RCL,Private,DateCreated,Travel_Min,Shape.STLength(),SpeedLimit,Alias_911,StreetName
MD,243.51692467,4178,0,ST1311001,76,,5,,WILDWIND PL,0,,END,Fugro,209,21008160018,1,299,,01/15,1475201700000,,Completed,,,153227,0,,0.11068951,243.45508595222373,25,,WINDY RIDGE DR
MD,385.22051517,402,0,ST0027001,92,,5,,LAXTON RD,0,,SELF,Fugro,1,22476149842,2,81,,02/15,1475201701000,,Completed,,,137346,0,,0.17510023,385.06452697751547,25,,ACRES CT
MD,271.54940617,,0,ST0040001,93,,5,,PERRYMONT AVE,0,,BILTMORE AVE,Fugro,1,27921154130,3,49,,02/15,1475201701000,,Completed,,,154532,0,,0.12343154,271.4154680861884,25,,ALEXANDER ST
MD,53.53522306,,0,ST0939010,90,,4,,FAIRMONT AVE,0,,ALEXANDER ST,Fugro,524,27888154104,4,599,,02/15,1475201702000,,Completed,,148162,154533,0,,0.02433419,53.48820544392586,25,,PERRYMONT AVE
MD,352.23946044,,0,ST0118008,44,,5,,MIDVALE ST,0,,SUSSEX ST,Fugro,700,28074154058,5,799,,02/15,1475201702000,,Completed,,,154534,0,,0.16010884,352.0610376596022,25,,BILTMORE AVE
MD,352.16516243,,0,ST1227001,97,,5,,OLD FOREST RD,0,,HILDA DR,Fugro,100,24744155862,6,105,,01/15,1475201703000,,Completed,,,152766,0,,0.16007507,351.8571789805486,25,,VICTOR DR
MD,319.18182285,,0,ST1335001,77,,5,,WYNDHURST DR,0,,SELF,Fugro,100,22917150019,7,109,,02/15,1475201704000,,Completed,,,137418,0,,0.14508264,319.0226553645296,25,,WYNDPARK CIR
MD,99.23571061,,0,ST0877010,98,,2,,VICTOR DR,0,,RICHESON DR,Fugro,3718,24688155871,8,3719,,02/15,1475201708000,,Completed,,148770,152768,0,,0.03221938,99.2340547242764,35,,OLD FOREST RD
MD,363.47935657,,0,ST0877011,100,,2,,RICHESON DR,0,,CAMP AVE,Fugro,3720,24659155807,9,3726,,02/15,1475201708000,,Completed,,148769,152769,0,,0.11801277,363.29928219289104,35,,OLD FOREST RD
MD,486.54536206,,0,ST0524001,79,Consolidated from multiple records,5,,ENTERPRISE DR,0,,WYNDHURST DR,Fugro,100,23032150534,10,199,,02/15,1475201709000,,Completed,,,137421,0,,0.22115698,486.2838690751119,25,,HEXHAM DR
FT,54.48357421,,0,ST0000102,,,5,,WYNDHURST DR,2,,TRADEWYND DR,,0,23091150671,11,0,ROUNDABOUT,,1475201710000,,Completed,,,137422,0,,0.02476526,54.48200740149416,25,TRADEWYND DR ROUNDABOUT,INTERSECTION
FT,405.5843262,1367,0,ST0375006,83,,3,,INTERSECTION & TRADEWYND DR,0,,GOLDENROD PL,Fugro,1501,22949150715,12,1599,,02/15,1475201710000,,Completed,,,137423,0,,0.13168322,405.56631725794193,35,,ENTERPRISE DR
MD,1189.22020443,,0,ST0682001,82,,5,,ROBIN DR,0,,ROBIN DR,Fugro,500,23078151584,13,523,,02/15,1475201711000,,Completed,,,137425,0,,0.54055463,1187.6985396801704,25,,LITTLE CREEK RD
MD,155.48254853,2396,0,ST0682002,92,,5,,ROBIN DR,0,,END,Fugro,524,22908151655,14,599,,02/15,1475201712000,,Completed,,,137426,0,,0.07067388,155.43076568483275,25,,LITTLE CREEK RD
MD,247.6217249,,0,ST0713001,61,,5,,MAJESTIC RD,0,,END,Fugro,100,23093153449,15,199,,02/15,1475201712000,,Completed,,,152770,0,,0.11255532,247.32570894404518,25,,MAJESTIC CIR
MD,170.13815007,,0,ST0720002,96,,5,,OMEGA DR,0,,END,Fugro,229,23407153302,16,299,,02/15,1475201713000,,Completed,,,152771,0,,0.07733552,169.8341793047722,25,,MAPLE HILLS DR
MD,781.48129258,,0,ST0714001,76,,5,,MAJESTIC CIR,0,,OMEGA DR,Fugro,210,23202153398,17,299,,02/15,1475201714000,,Completed,,,152772,0,,0.35521876,780.4723335274011,25,,MAJESTIC RD
MD,600.32735152,3725,0,ST1155003,74,,4,,WESTOVER BLVD & PERRY AVE,0,,WARREN AVE,Fugro,500,28351154721,18,599,,02/15,1475201714000,,Completed,,635850,154947,0,,0.27287606,599.2461706886892,25,,SUSSEX ST
MD,66.15535307,,0,ST0645005,80,,4,,NEWBERNE ST,0,,THOMAS RD & BREVARD ST,Fugro,519,28392155071,19,599,,02/15,1475201715000,,Completed,,148828,154948,0,,0.03007061,66.14133906111647,25,,LANGHORNE LN
MD,304.22477854,3537,0,ST1113001,61,,5,,MEMORIAL AVE,0,,EUCLID AVE,Fugro,1200,29091154768,20,1205,,02/15,1475201715000,,Completed,,,155230,0,,0.13828399,304.1470759291912,25,S GRAND AVE,SOUTH GRAND AVE
MD,148.4058343,3370,0,ST1013004,98,,5,,VERMONT AVE,0,,VERMONT AVE,Fugro,1701,28762154390,21,1703,,02/15,1475201716000,,Completed,,,156281,0,,0.06745719,148.3977983651812,25,,RICHMOND AVE
MD,159.42408349,3072,0,ST0902001,87,,5,,BOONSBORO RD,0,,RAIFORD CIR,Fugro,100,21529160575,22,106,,01/15,1475201717000,,Completed,,,153228,0,,0.07246549,159.18476964128538,25,,OVERSTREET LN
MD,183.87403557,3370,0,ST1013006,95,,5,,VERMONT AVE,0,,CONNECTICUT AVE,Fugro,1700,28731154350,23,1709,,02/15,1475201717000,,Completed,,,156282,0,,0.0835791,183.85733938377203,25,,RICHMOND AVE
MD,257.04307695,4136,0,ST1294001,95,,5,,COFFEE RD,0,,HAYFIELD DR,Fugro,100,20798159910,24,103,,01/15,1475201718000,,Completed,,,153229,0,,0.11683776,255.58199056592275,25,,WILDWIND PL
MD,255.34616335,,0,ST0939009,99,,4,,OAKDALE DR,0,,WHITE ST,Fugro,300,27598154362,25,399,,02/15,1475201718000,,Completed,,148154,154535,0,,0.11606643,255.27206090608885,25,,PERRYMONT AVE
MD,885.79165514,,0,ST0939008,90,,4,,WHITE ST,0,,ALABAMA AVE,Fugro,400,27723154241,26,499,,02/15,1475201719000,,Completed,,148163,154536,0,,0.40263257,885.1430732000686,25,,PERRYMONT AVE
MD,570.2746655,,0,ST1317002,46,,5,,INTERSECTION & TIMBERLAKE RD,0,,MOUNTAIN VIEW DR,Fugro,1000,23606149634,27,1099,,02/15,1475201720000,,Completed,,,137427,0,,0.25921575,569.5569173315481,25,,WOOD RD
